"","site.id","lat","long","dataset","site.name","age_bacon","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"5922","298",47.1775,-95.162675,298,"Bog D Pond",94.7805623621933,257,72,16,46,13,10,12,7,2,0,17,1,1,0,1,3,8,0,0,0,1,1
"5923","298",47.1775,-95.162675,298,"Bog D Pond",7585.54830589683,23,196,87,7,51,30,1,2,5,0,1,1,2,1,3,3,0,0,0,0,0,0
"5924","298",47.1775,-95.162675,298,"Bog D Pond",7930.10651477371,32,150,96,11,37,26,7,7,9,0,1,2,7,0,3,15,0,0,0,0,0,0
"5925","298",47.1775,-95.162675,298,"Bog D Pond",8272.26303491101,40,163,83,9,42,32,7,4,2,0,2,0,4,2,0,7,0,0,0,0,0,0
"5926","298",47.1775,-95.162675,298,"Bog D Pond",8613.9917920933,58,206,50,12,52,30,4,1,3,0,0,0,3,2,0,10,0,0,0,0,0,0
"5927","298",47.1775,-95.162675,298,"Bog D Pond",8963.09845327547,36,197,35,9,47,20,4,0,2,0,0,0,2,1,0,27,0,0,1,0,0,0
"5928","298",47.1775,-95.162675,298,"Bog D Pond",94.7881799551499,260,67,20,32,10,10,16,5,1,0,7,0,1,1,1,2,10,0,0,0,2,0
"5929","298",47.1775,-95.162675,298,"Bog D Pond",9305.91308523263,60,160,34,25,17,42,9,4,13,0,0,1,2,1,2,10,0,0,0,0,0,0
"5930","298",47.1775,-95.162675,298,"Bog D Pond",9479.00104664545,85,148,11,19,13,12,4,5,7,0,2,1,4,3,9,8,0,0,1,0,0,1
"5931","298",47.1775,-95.162675,298,"Bog D Pond",9652.97117635647,218,93,14,22,18,16,3,4,15,0,2,0,4,3,6,7,1,0,0,0,0,0
"5932","298",47.1775,-95.162675,298,"Bog D Pond",10000.9114357785,226,47,11,57,30,20,5,0,16,0,5,0,2,8,0,2,2,0,3,0,1,1
